Message,Code,Lines,Complexity
Makes the autotools scripts work on Mac OS X. Also hopefully makes gtest compile on Windows CE.,"
 #ifndef GTEST_INCLUDE_GTEST_GTEST_MESSAGE_H_
 #define GTEST_INCLUDE_GTEST_GTEST_MESSAGE_H_
 
-#if defined(__APPLE__) && !defined(GTEST_NOT_MAC_FRAMEWORK_MODE)
-// When using Google Test on the Mac as a framework, all the includes will be
-// in the framework headers folder along with gtest.h.
-// Define GTEST_NOT_MAC_FRAMEWORK_MODE if you are building Google Test on
-// the Mac and are not using it as a framework.
-// More info on frameworks available here:
-// http://developer.apple.com/documentation/MacOSX/Conceptual/BPFrameworks/
-// Concepts/WhatAreFrameworks.html.
-#include ""gtest-string.h"" // NOLINT
-#include ""gtest-internal.h"" // NOLINT
-#else
 #include <gtest/internal/gtest-string.h>
 #include <gtest/internal/gtest-internal.h>
-#endif // defined(__APPLE__) && !defined(GTEST_NOT_MAC_FRAMEWORK_MODE)
 
 namespace testing {
 
",72,18
"Makes Google Test compile on Mac OS X and Cygwin, and adds project files for Microsoft Visual Studio.","
 // Test flag names share, in upper case.
 //
 // Macros indicating the current platform:
+// GTEST_OS_CYGWIN - defined iff compiled on Cygwin.
 // GTEST_OS_LINUX - defined iff compiled on Linux.
 // GTEST_OS_MAC - defined iff compiled on Mac OS X.
 // GTEST_OS_WINDOWS - defined iff compiled on Windows.

 #define GTEST_FLAG_PREFIX_UPPER ""GTEST_""
 
 // Determines the platform on which Google Test is compiled.
-#ifdef _MSC_VER
+#ifdef __CYGWIN__
+#define GTEST_OS_CYGWIN
+#elif defined _MSC_VER
 // TODO(kenton@google.com): GTEST_OS_WINDOWS is currently used to mean
 // both ""The OS is Windows"" and ""The compiler is MSVC"". These
 // meanings really should be separated in order to better support
",148,29
Fixes some style nits; also fixes minor bugs in gtest-death-test.cc.," String FormatForFailureMessage(wchar_t wchar);
 // This internal macro is used to avoid duplicated code.
 #define GTEST_FORMAT_IMPL(operand2_type, operand1_printer)\
 inline String FormatForComparisonFailureMessage(\
- operand2_type::value_type* str, const operand2_type& operand2) {\
+ operand2_type::value_type* str, const operand2_type& /*operand2*/) {\
 return operand1_printer(str);\
 }\
 inline String FormatForComparisonFailureMessage(\
- const operand2_type::value_type* str, const operand2_type& operand2) {\
+ const operand2_type::value_type* str, const operand2_type& /*operand2*/) {\
 return operand1_printer(str);\
 }
 
",141,23
Makes the output understandable by VS when compiled by MSVC.," static const char * TestPartResultTypeToString(TestPartResultType type) {
 
 case TPRT_NONFATAL_FAILURE:
 case TPRT_FATAL_FAILURE:
- return ""Failure"";
+#ifdef _MSC_VER
+ return ""error: "";
+#else
+ return ""Failure\n"";
+#endif
 }
 
 return ""Unknown result type"";
 static void PrintTestPartResult(
 
 printf(""%s"", file_name == NULL ? ""unknown file"" : file_name);
 if (test_part_result.line_number() >= 0) {
+#ifdef _MSC_VER
+ printf(""(%d)"", test_part_result.line_number());
+#else
 printf("":%d"", test_part_result.line_number());
+#endif
 }
- printf("": %s\n"", TestPartResultTypeToString(test_part_result.type()));
+ printf("": %s"", TestPartResultTypeToString(test_part_result.type()));
 printf(""%s\n"", test_part_result.message());
 fflush(stdout);
 }
",2031,471
Adds a test for the GTEST_PRINT_TIME env var. By Balazs.Dan@gmail.com.," def TestEnvVarAffectsFlag(command):
 TestFlag(command, 'color', 'yes', 'auto')
 TestFlag(command, 'filter', 'FooTest.Bar', '*')
 TestFlag(command, 'output', 'tmp/foo.xml', '')
+ TestFlag(command, 'print_time', '1', '0')
 TestFlag(command, 'repeat', '999', '1')
 
 if IS_WINDOWS:
",71,14
Makes death tests create temporary files in /tmp instead of the current folder.," class CapturedStderr {
 CapturedStderr() {
 uncaptured_fd_ = dup(STDERR_FILENO);
 
- char name_template[] = ""captured_stderr.XXXXXX"";
+ // There's no guarantee that a test has write access to the
+ // current directory, so we create the temporary file in the /tmp
+ // directory instead.
+ char name_template[] = ""/tmp/captured_stderr.XXXXXX"";
 const int captured_fd = mkstemp(name_template);
 filename_ = name_template;
 fflush(NULL);
",162,35
Makes gtest work on Windows Mobile and Symbian. By Mika Raento.," inline const char* GetEnv(const char* name) {
 #endif
 }
 
+#ifdef _WIN32_WCE
+// Windows CE has no C library. The abort() function is used in
+// several places in Google Test. This implementation provides a reasonable
+// imitation of standard behaviour.
+void abort();
+#else
+inline void abort() { ::abort(); }
+#endif // _WIN32_WCE
+
 // Macro for referencing flags.
 #define GTEST_FLAG(name) FLAGS_gtest_##name
 
",150,30
Fixes the definition of GTEST_ATTRIBUTE_UNUSED and make the tests pass in opt mode.,"
 // struct Foo {
 // Foo() { ... }
 // } GTEST_ATTRIBUTE_UNUSED;
-#if defined(GTEST_OS_WINDOWS) || (defined(GTEST_OS_LINUX) && defined(SWIG))
-#define GTEST_ATTRIBUTE_UNUSED
-#else
+#if defined(__GNUC__) && !defined(COMPILER_ICC)
 #define GTEST_ATTRIBUTE_UNUSED __attribute__ ((unused))
-#endif // GTEST_OS_WINDOWS || (GTEST_OS_LINUX && SWIG)
+#else
+#define GTEST_ATTRIBUTE_UNUSED
+#endif
 
 // A macro to disallow the evil copy constructor and operator= functions
 // This should be used in the private: declarations for a class.
",150,30
Changes test creation functions to factories. By Vlad Losev.," class TestInfoImpl {
 public:
 TestInfoImpl(TestInfo* parent, const char* test_case_name,
 const char* name, TypeId fixture_class_id,
- TestMaker maker);
+ internal::TestFactoryBase* factory);
 ~TestInfoImpl();
 
 // Returns true if this test should run.
 class TestInfoImpl {
 const TypeId fixture_class_id_; // ID of the test fixture class
 bool should_run_; // True iff this test should run
 bool is_disabled_; // True iff this test is disabled
- const TestMaker maker_; // The function that creates the test object
+ internal::TestFactoryBase* const factory_; // The factory that creates
+ // the test object
 
 // This field is mutable and needs to be reset before running the
 // test for the second time.
",498,108
Implement wide->UTF-8 string conversion more correctly,"
 #include <sys/mman.h>
 #endif // GTEST_HAS_STD_STRING && defined(GTEST_OS_LINUX)
 
+// Determines whether the system compiler uses UTF-16 for encoding wide strings.
+#if defined(GTEST_OS_WINDOWS) || defined(GTEST_OS_CYGWIN) || \
+ defined(__SYMBIAN32__)
+#define GTEST_WIDE_STRING_USES_UTF16_ 1
+#endif
+
 // Defines some utility macros.
 
 // The GNU compiler emits a warning if nested ""if"" statements are followed by
",150,30
