,Function,Original Comment,Predicted comment
0,private boolean columnexists string tablename string columnname int sqltype try databasemetadata dbm databasecontroll getconnection getmetadata resultset columns dbm getcolumns null null tablename columnname if columns next false return false now check the format string colname columns getstring 4 int columns getint 5 if tableitem getsqltype return true string columns getstring 6 return false catch sqlexception e e printstacktrace return false return true ,check a specific table column exists param tablename table name param columnname column name param sqltype column sql type return true if the column exists and has the correct format , check if the given table is a string with a given name and the name of the column is not checked against the values param column the name of the check return true if the string is a valid value
1,public boolean iseditable return eqtermdefault allterms get 0 iseditable ,gets whether the underlying coefficients tables are editable return code true code if editable , gets whether the underlying coefficients table is editable return true if editable
2,public void notifychanged notification notification updatechildren notification switch notification getfeatureid artifact class case umlpackage artifact file name firenotifychanged new viewernotification notification notification getnotifier false true return case umlpackage artifact nested artifact case umlpackage artifact manifestation case umlpackage artifact owned operation case umlpackage artifact owned attribute firenotifychanged new viewernotification notification notification getnotifier true false return super notifychanged notification ,this handles model notifications by calling link updatechildren to update any cached children and by creating a viewer notification which it passes to link firenotifychanged begin user doc user doc generated , this handles model notifications by calling link updatechildren to update any cached children and by creating a viewer notification which it passes to link firenotifychanged begin user doc
3,public lookupitem removeitem int lookupitem lutitem lutlist remove setdeleted lutitem return lutitem ,remove an item at a specified index in the list param index of item to remove return the removed item , returns the supplied code visualobject code that is rendered by the supplied object param type the code visualobject code to be rendered return the code visualobject code that is rendered
4,public void valuechanged symbolevent evt evt getsource ,update the symbol display param evt the symbol event , updates the mouse buttons param evt the event
5,public int getstep return stepmillis ,returns the current delay time in milliseconds return current delay time in milliseconds , gets the value of the pixel property return possible object is link double
6,public tridasvariable return new tridasvariable ,create an instance of link tridasvariable , gets the type of the class return
7,public void column column int columnnumber column getcolumnnumber int columnnumber mask byte mask columnnumber ,indicate that the column with the given number is not code null or a boolean value is code true param column column to be marked non code null , sets the column name of the column object param column the column column name
8,public void string resource throws exception mergewith string2properties resource ,loads parameters from static file by means of , sets the directory that is used by the given directory
9,public void try report iaudit if report null logger fine report string report logger info testing of method was successful asserttrue true else asserttrue false catch exception e logger log level info exception in testing method e getmessage e asserttrue false ,tests the iaudit method of the configmanager componenet , tests the open method of the docimpex componenet
10,public void list admins this admins admins ,sets the list of admins list should contain hashmap objects with userid and username param admins list , sets the value of the database property param value allowed object is link tridassample
11,public void addnestedarchivetype try thinlet add thinlet parse resources xml catch ioexception e e printstacktrace ,pops up a dialog to add a new type , test method for 'org simbio sim dm serialize protocolparser getexchanger ' argument 'protocolparsermake' has no tag attribute attribute should be ok
12,public boolean for field field this getclass getfields if modifier ispublic field getmodifiers try if field get this null return false if stepcondition class isassignablefrom field gettype stepcondition condition stepcondition field get this if condition return false catch exception e return false return true ,this implementation of checks wether every public field has a value if it can not read the value of a public field it returns false if a public field is a it checks wether this is too , check if the given value is a value
