,Function,Original Comment,Predicted comment
0,def run until shutdown self ''' run the bokeh server until shutdown is requested by the user either via a keyboard interrupt ctrl c or sigterm calling this method will start the tornado ioloop and block all execution in the calling process returns none ''' if not self started self start install shutdown hooks atexit register self atexit signal signal signal sigterm self sigterm try self loop start except keyboardinterrupt print down self stop ,run the bokeh server until shutdown is requested by the user either via a keyboard interrupt ctrl c or calling this method will the tornado ioloop and block all execution in the calling process returns none , add a new node to a node this is a blocking to be called when called when it is called as a future
1,def itemsize self return the size of the dtype of the item of the underlying data deprecated 0 23 0 warnings warn obj itemsize is deprecated and will be removed in a future version format obj type self name futurewarning stacklevel 2 return self ndarray values itemsize ,return the size of the dtype of the item of the underlying data deprecated 0 23 0 , returns a list of class instances instances instances fields returns a list of class instances instances
2,def stddev 1e 2 def init shape rng return stddev backend random normal rng shape astype 'float32' return init ,an initializer function for random normal coefficients , returns a list of strings
3,def qa indicator dataframe n 12 m 6 c dataframe close c ref c n ma m dict return pd dataframe dict ,, return a list of class google cloud bigquery
4,def hparams to scheme hparams drop long sequences false shard multiplier 1 length multiplier 1 return scheme batch size hparams batch size min length hparams min length max length hparams max length min length bucket hparams min length bucket length bucket step hparams length bucket step drop long sequences drop long sequences shard multiplier shard multiplier length multiplier length multiplier ,wrapper around scheme with hparams , convert a string to a string if possible
5,def get self field return the value for the queried field get the value of a given field the list of all queryable fields is documented in the beginning of the model class out m get 'graph' parameters field string name of the field to be retrieved returns out value the current value of the requested field if field in self list fields return self proxy get field else raise keyerror 'key s not in model available fields are s ' field ' ' join self list fields ,return the value for the queried field get the value of a given field the list of all queryable fields is documented in the beginning of the model class out m get 'graph' parameters field string name of the field to be retrieved returns out value the current value of the requested field , returns a list of class names
6,def validate column specs events columns verify that the columns of events can be used by a to serve the described by columns required required estimates fields columns received set events columns missing required received if missing raise valueerror missing required columns missing n got columns received n expected columns required format missing sorted missing received sorted received required sorted required ,verify that the columns of events can be used by a to serve the described by columns , remove an image from a list of integers args x a list of integers returns a list of integers
7,async def close self none closes the connection returns a future that resolves after the serving loop has exited self stream close block until the serving loop is done but ignore any exceptions start serving is already responsible for logging them assert self serving future is not none try await self serving future except exception pass ,closes the connection returns a future that resolves after the serving loop has , returns a list of class coro also parse a list of class exportentry instances
8,def init norm self weights with tf variable scope init norm flat tf reshape weights 1 self layer depth return tf reshape tf norm flat axis 0 self layer depth ,set the norm of the weight vector , returns a list of class instances instances instances instances of a list of class instances instances
9,def save model save cnn model returns callback a callback function that can be passed as epoch end callback to fit if not os path exists checkpoint os mkdir checkpoint return mx callback do checkpoint checkpoint checkpoint args save period ,save cnn model returns callback a callback function that can be passed as epoch callback to fit , returns a list of class google cloud bigquery bigquery reference reference rest v2 configuration configuration
10,def to df self none create pd dataframe containing items from self x and self y return pd dataframe dict x self x relative item paths y str o for o in self y ,create pd dataframe containing items from self x and self y , returns a list of class pyspark instances instances
11,def load pretrained nlp loc load pre trained weights for the 'token to part of the component models which is typically a cnn see 'spacy experimental with loc open rb as file weights data file read loaded for name component in nlp pipeline if hasattr component model and hasattr component model component from bytes weights data loaded append name return loaded ,load pre trained weights for the to part of the component models which is typically a cnn see 'spacy experimental , returns a list of class google cloud bigquery bigquery reference reference rest v2 configuration configuration
12,def xmoe2 tiny hparams xmoe2 v1 hparams decoder layers local att att compressed att drd hmoe hparams d model 128 hparams moe hidden size 512 hparams outer batch size 0 hparams batch size 2 hparams mesh shape hparams activation dtype float32 return hparams ,test on local cpu , convert a string to a string if possible
13,def get random self returns a random statement from the database statement self get model 'statement' statement statement objects order by ' ' first if statement is none raise self emptydatabaseexception return statement ,returns a random statement from the database , returns a list of class names
14,def run gpu id none x y x test y test load minibatch size y shape 0 noise precision 1 9 0 net get sym true noise precision data shape minibatch size x shape 1 data inputs 'data' nd zeros data shape ctx dev gpu id output label' nd zeros minibatch size 1 ctx dev gpu id initializer mx init uniform 0 07 sample pool net data inputs data inputs x x y y x test x test y test y test sample num initializer initializer prior precision 1 0 learning rate 1e 3 l 10 dev dev gpu id ,run on dataset , add a new node to a file
15,def cleanup global logging stdout handler logging none this function closes any open file handles and logs set up by prepare global logging parameters stdout handler logging required the file handler returned from prepare global logging attached to the global logger stdout handler close logging getlogger removehandler stdout handler if isinstance sys stdout sys stdout sys stdout cleanup if isinstance sys stderr sys stderr sys stderr cleanup ,this function closes any open file handles and logs set up by prepare global logging parameters stdout handler logging required the file handler returned from prepare global logging attached to the global logger , returns a list of class instances instances instances instances of a list of class instances instances
16,def get cookie key version self name str value str none optional int returns the signing key version of the cookie the version is returned as int self require setting cookie secret cookies if value is none value self get cookie name if value is none return none return get signature key version value ,returns the signing key version of the cookie the version is returned as int , returns a dictionary of a dictionary of a dictionary of a dictionary of a dictionary of a dictionary of a given name of a given name of a given name of a given name of a given name of a given name of a given name name and a name of a given name and a name of a given name and a name name is a dictionary of a dictionary
17,def convert softmax net node module builder convert a softmax layer from mxnet to coreml parameters network net a mxnet network object layer node node to convert module module an module for mxnet builder neuralnetworkbuilder a neural network builder object input name output name get input output name net node name node 'name' builder add softmax name name input name input name output name output name ,convert a softmax layer from mxnet to coreml parameters network net a mxnet network object layer node node to convert module module an module for mxnet builder neuralnetworkbuilder a neural network builder object , add a new node to a node this is a blocking to be called when called when it is called as a future
18,def max sequence length self dataset split determine the maximum sequence length given a dataset split args dataset split a problem datasetsplit returns the maximum length that a sequence can be for this dataset split return problem datasetsplit train 64 problem datasetsplit eval 128 problem datasetsplit test 128 dataset split ,determine the maximum sequence length given a dataset split args dataset split a problem datasetsplit returns the maximum length that a sequence can be for this dataset split , returns a list of class names
