,Function,Original Comment,Predicted comment
0,static char features static int included patches add new patch number below this line 1094 1093 ,patch 8 1 1094 long line in tags file causes error problem long line in tags file causes error solution check for line earlier andy massimino closes closes , patch 7 4 1042 problem using a tab error remove world is already used tested solution use args when adding a unitialized function christian brabandt
1,static value window set cursor value self value pos return qnil static value f nop value self return qnil static value f p int argc value argv value self unused int i static void ruby io init void rb stdout rb obj alloc rb rb define singleton method rb stdout write vim message 1 rb define singleton method rb stdout flush f nop 0 rb define global function p f p 1 ,updated for version 7 3 problem error for flush not being defined when using ruby command solution defined flush as a no op method kent sibilev , patch 7 4 747 problem using args after the viminfo makefile is pavlov solution use count right number in buffer y
2,static char features static int included patches add new patch number below this line 1398 ,patch 8 1 1398 duplicate line in msvc build file problem duplicate line in msvc build file solution remove the line ken takata closes , updated for version 7 3 341 problem test 87 sometimes fails when solaris is slow solution compiled the output width try mvc escaped christian brabandt
3,f getchar typval t argvars typval t rettv varnumber tn interror false ifdef message queue vpeekc used to check for messages but that caused problems invoking a callback where it was not expected some plugins use getchar 1 in a loop to a message therefore make sure we check for messages here parse queued messages endif position the cursor needed after a message that ends in a space windgoto msg row msg col ,patch 8 1 0367 getchar 1 no longer processes pending messages problem getchar 1 no longer processes pending messages yasuhiro matsumoto solution call parse queued messages , patch 7 4 0372 problem tiny get memory access when tp directory solution remove args to askmore christian brabandt
4,static char features static int included patches add new patch number below this line 1186 1185 ,patch 7 4 1186 problem error messages for security context are hard to translate solution use one string with s ken takata , updated for version 7 3 286 problem channel 1071 doesn't specify to support current window selection solution restore start in solaris buffer yasuhiro matsumoto
5,set buffer lines tabpage t tp appended lines mark append lnum added only adjust the cursor for buffers other than the current unless it is the current window for curbuf and other windows it has been done in mark adjust internal for all tab windows tp wp if wp w buffer buf wp w cursor lnum append lnum if wp w buffer buf wp w buffer curbuf wp curwin wp w cursor lnum append lnum wp w cursor lnum added check cursor col update topline ,patch 8 1 1932 ml get errors after using append problem ml get errors after using append alex solution do not update the cursor twice closes 1737 , patch 8 2 0477 warning for unused field problem compiler warning for uninitialized and version solution change argument to proto
6,namespace aux boost log anonymous namespace cxxabi h availability macro if defined boost clang if defined has include has include cxxabi h define boost log has cxxabi h endif elif defined glibcxx defined glibcpp define boost log has cxxabi h endif if defined boost log has cxxabi h mingw gcc 4 4 seem to not work the same way the newer gcc versions do as a result cxa get globals based implementation will always return 0 just disable it for now and fall back to std uncaught exception ,fixed unhandled exception count with gcc and clang , clean remove static grid to be hard to build
7,namespace boost namespace math namespace detail x y z 0 swap x z return x 0 sqrt z 2 y ellint rc imp x y pol sqrt x 2 return x 0 t sqrt z 2 t y ellint rc imp x y pol sqrt x 2 else if y z namespace boost namespace math namespace detail if x 0 return constants pi t sqrt y 4 else return y 0 sqrt x 2 y ellint rc imp x y pol sqrt x 2 return y 0 t sqrt x 2 t y ellint rc imp x y pol sqrt x 2 return z ellint rf imp x y z pol ,carlson rg fix test failures and concept checking failures , disabled update w macro apply detail factorial from lib gcd
8,static char features static int included patches add new patch number below this line 7 6 ,patch 8 1 0007 no test for o and o in visual block mode problem no test for o and o in visual block mode solution add a test dominique pelle closes , patch 7 4 915 problem insufficient changes changes for different digit script solution include the file use one
9,ex packadd exarg t eap ex options exarg t eap unused vim setenv char u optwin cmd char u cmdmod tab tab cmd source char u sys optwin file null endif ,patch 8 0 0900 tab options doesn't open a new tab page problem tab options doesn't open a new tab page solution support the tab modifier closes 1960 , patch 8 2 0814 evaluation for ambigous width is confusing text problem using dumpwrite sith buffer number command line solution add it to vue
10,static char features static int included patches add new patch number below this line 2073 2072 ,patch 7 4 2073 problem rgb txt is read for every color name solution load rgb txt once christian brabandt add a test , patch 8 0 0741 cannot build without quickfix feature problem cannot build without quickfix but without quickfix feature solution make the makefile missing tabstop
11,ex vimgrep eap dirname start alloc id maxpathl aid qf dirname start dirname now alloc id maxpathl aid qf dirname now if dirname start null dirname now null freewild fcount fnames goto theend remember the current directory because a bufread autocommand that does lcd p h changes the meaning of short path names ,patch 7 4 1130 problem memory leak in vimgrep solution call freewild yegappan lakshmanan , patch 7 4 1747 problem memory leak in memory leak solution skip word plugin in vim items
12,static char features static int included patches add new patch number below this line 781 ,patch 8 2 0782 cannot build with lua on ms windows problem cannot build with lua on ms windows solution add dll symbol for lual ken takata , patch 8 2 1497 terminal test fails when masato via folding problem vim9 syntax test for a shell script fails solution only skipped it with the filename
13,static char features static int included patches add new patch number below this line 2100 2099 ,patch 8 1 2100 mksession is not sufficiently tested problem mksession is not sufficiently tested solution add more test cases yegappan lakshmanan closes , patch 7 4 strchars problem using 'shellpipe' mswin to internal error solution initialize allocated
