,Function,Original Comment,Predicted comment
0,void arguments addobjectref const std string name accesstype access type object refs name std move descriptor ptr void arguments addobject const std string name accesstype access type object gpuobjectdescriptorptr descriptor ptr descriptor ptr access type objects name std move object std move descriptor ptr void arguments addobject const std string name gpuobjectdescriptorptr descriptor ptr descriptor ptr accesstype read ,clarified interface of arguments piperorigin revid change id , fix a bug in the parser test piperorigin revid
1,class test testcase key 2 constant op constant 1 5 2 5 length 2 padded seq padding sequences 2 with self assertraisesoperror all sequence lengths must match but received lengths padded seq key 1 eval if ops use c api with self assertraisesregexp valueerror fill dimensions must be 0 padded seq padding sequences 2 else padded seq padding sequences 2 with self assertraisesoperror all sequence lengths must match but received lengths padded seq key 1 eval def self with ops graph as default as g self test session graph g ,make batch sequences with states test py work with the c api enabled the c api improves static shape inference making more errors caught at graph construction time instead of runtime piperorigin revid , fix a bug in the docstring of the test case piperorigin revid
2,from tensorflow python ops import array ops from tensorflow python ops import math ops from tensorflow python ops import variables from tensorflow python platform import tf logging as logging from tensorflow python training import distribution strategy context from tensorflow python training mode keys import modekeys from tensorflow python util import nest def validate not in strategy scope if distribution strategy context has distribution strategy if distribution strategy context in cross replica context raise runtimeerror eval predict should not be run inside the distribution strategy ' 'scope only model creation and compilation should be in ' 'distribution strategy scope ' def set weights distribution strategy dist model weights sets the weights of the replicated models ,throw an error when running loop inside scope piperorigin revid , tf data vectorization to use tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental v piperorigin revid
3,class indexedslices internal nativeobject composite tensor compositetensor return indexedslices indices s values s s self indices self values dense shape s self dense shape if self dense shape is not none else self dense shape if self dense shape is not none else def neg self return indexedslices self values self indices self dense shape ,fixed error from printing out of indexedslices objects piperorigin revid change id , fix a bug in the docstring of the test case piperorigin revid
4,llvm ir elementgenerator elementaliremitter makeelementgenerator case hloopcode kcopy return hlo operand to generator const irarray index target index statusor llvm value irarray index source index target index source index irarray index source index target index multidim hlo operand 0 shape target index gettype tf assign or return llvm value operand value operand to generator at hlo operand 0 source index ,remove method from irarray index this method was originally added to allow to force using the multi dimensional index to allow so allow to specify in the methods whether to allow using the linear index piperorigin revid , xla gpu support for xla hlo ir piperorigin revid change id idadedfddaccd
5,class tf test benchmark if name ' main ' tf test main no newline at end of file ,add common tags and update benchmarks to keep consistency , tf data vectorization test for tf data dataset piperorigin revid
6,default cuda path ' usr local cuda' default cuda path linux ' opt cuda' default cuda path win 'c program files nvidia gpu computing ' cuda v s' default cuda version default tensorrt path linux ' usr lib x86 64 linux gnu' default tensorrt path linux ' usr lib s linux gnu' platform machine tf opencl version '1 2' default computecpp toolkit path ' usr local computecpp' default trisycl include dir ' usr local trisycl include' ,add support for other cpu aarch for tensorrt , fix a bug in the test case piperorigin revid
7,class mirroredextended distribute lib strategyextendedv1 input contexts self container strategy def experimental distribute values from function self value fn per replica values for replica id in range self num replicas in sync per replica values append value fn distribute lib valuecontext replica id self num replicas in sync return values regroup per replica values always wrap true todo priyag deal with outofrange errors once b 111349762 is fixed def experimental run steps on iterator self fn iterator iterations initial loop values none ,add experimental make distributed values from function method to distribution strategy piperorigin revid change id , fix a bug in the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient piperorigin revid
8,void trtcalibop compute tensorflow opkernelcontext ctx stream implementation cudastreammemberhack calib res calibrator setbatch input data stream calib res calibrator setbatch input data stream vlog 2 passed calibration data todo aaroey make sure we wait for the completion of calibration on the last batch in future pr ,fix c and python formatting , add a test for the new op api piperorigin revid
9,from tensorflow python util import tf contextlib from tensorflow python util tf export import tf export temporary global switch determining if we should enable the work in progress calls to the c api currently disabled by default but can be manually enabled in code or via the environment variable this will be removed once all functionality is supported and there's no performance penalty with it enabled use c api os getenv tf c api graph construction 1 is not 0 temporary global switches determining if we should enable the work in progress calls to the c api these will be removed once all functionality is supported use c api true use c shapes os getenv tf c api graph construction shapes 0 is not 0 ,remove environment variable to disable c api this is staging for removing the use c api toggle altogether piperorigin revid , compat update forward compatibility horizon to piperorigin revid change id idfffafefeecffceded
10,static char features static int included patches add new patch number below this line 1612 1611 ,patch need to close terminal after shell stopped problem need to close terminal after shell stopped solution make terminal without argument close the window by default , patch problem when using a channel to be a bit a bit slow solution add a test for the test
11,def map structure func structure kwargs structure i all structures in structure must have the same arity and the return value will contain results with the same structure layout examples 1 a single python dict a hello 24 world 76 tf nest map structure lambda p p 2 a 'hello' 48 152 2 multiple python dictionaries d1 hello 24 world 76 d2 hello 36 world 14 tf nest map structure lambda p1 p2 p1 p2 d1 d2 'hello' 60 90 args func a callable that accepts as many arguments as there are structures structure scalar or tuple or dict or list of constructed scalars and or ,nfc add examples to tf nest map structure documentation piperorigin revid change id , fix a bug in the docstring of the docstring of the docstring of the docstring change
12,global void const int nthreads max 0 int pool size gradient top diff slice ph pooled width pw channels pool size top diff slice ph pooled width pw channels dtype pool size bottom diff index gradient ,get rid of ambiguous operator and enable for gpu builds on windows , xla python fix a bug in the hlo client client piperorigin revid
